deepseek_y1,deepseek_y0
8.5,7.5
8.5,8.5
9.5,8.5
10.5,9.5
8.5,9.5
9.5,8.5
9.5,9.5
7.5,6.2
9.5,9.5
9.5,9.5
8.5,8.5
9.5,9.5
8.5,7.5
8.5,8.5
10.2,9.5
9.2,8.5
9.5,9.5
8.2,8.5
8.5,7.5
8.5,8.5
9.5,8.5
9.5,9.5
7.2,6.8
8.2,7.2
9.2,9.5
8.5,9.5
10.2,9.5
9.5,8.5
9.5,8.5
9.5,9.5
9.5,9.5
8.5,8.5
9.8,9.5
9.5,9.5
8.5,8.5
8.5,8.5
8.5,9.5
7.5,7.5
8.2,8.2
9.5,10.5
11.5,11.5
8.5,8.5
9.8,9.5
8.5,9.5
9.5,9.5
8.5,9.5
8.5,9.5
10.5,10.2
8.5,8.5
8.2,8.5
8.5,9.5
9.2,8.5
8.5,8.5
8.5,7.5
9.5,9.5
9.5,9.5
8.5,8.5
8.5,8.5
10.5,10.5
7.5,7.2
9.5,9.5
7.5,7.5
10.5,11.5
9.5,9.5
6.2,6.5
8.5,8.5
8.5,8.5
8.7,8.5
9.5,9.1
10.2,10.5
7.5,7.2
8.5,9.5
